60Minutes,60 Minutes
SanFranciscoChronicleSacramentoBeeviaAssociatedPress,"San Francisco Chronicle, Sacramento Bee via Associated Press "
SanFranciscoChronicleSacramentoBeeviaLosAngelesTimes,"San Francisco Chronicle, Sacramento Bee via Los Angeles Times"
SanFranciscoChronicleviaAssociatedPress,San Francisco Chronicle via Associated Press
SanFranciscoChronicleviaBusinessInsider,San Francisco Chronicle via Business Insider
SanFranciscoChronicleviaDallasMorningNews,San Francisco Chronicle via Dallas Morning News
SanFranciscoChronicleviaKALWNews,San Francisco Chronicle via KALW News
SanFranciscoChronicleviaPRWeb,San Francisco Chronicle via PRWeb 
SanFranciscoCitizen,San Francisco Citizen 
SanFranciscoExaminer,San Francisco Examiner
SanFranciscoGate,San Francisco Gate
SanFranciscoMagazine,San Francisco Magazine
SanJoseMercuryNews,San Jose Mercury News
SanJoseMercuryNewsContraCostaTimes,"San Jose Mercury News, Contra Costa Times"
SanJoseMercuryNewsContraCostaTimesMarinIndependentJournal,"San Jose Mercury News, Contra Costa Times, Marin Independent Journal "
SanJoseMercuryNewsContraCostTimesMarinIndependentJournal,"San Jose Mercury News, Contra Cost Times, Marin Independent Journal "
SanJoseMercuryNewsMarinIndependentJournalContraCostaTimes,"San Jose Mercury News, Marin Independent Journal, Contra Costa Times"
SanJoseMercuryNewsMarinIndependentJournalSacramentoBee,"San Jose Mercury News, Marin Independent Journal, Sacramento Bee"
SanJoseMercuryNewsmediacenter,San Jose Mercury News media center
SanJoseMercuryNewsSantaCruzSentinel,"San Jose Mercury News, Santa Cruz Sentinel"
SanJoseMercuryNewsviaAssociatedPress,San Jose Mercury News via Associated Press
SantaCruzSentinel,Santa Cruz Sentinel
SarasotaHeraldTribune,Sarasota Herald-Tribune
SceneMagazineSiliconValleyPage39,Scene Magazine (Silicon Valley - Page 39)
Science,Science
ScienceAAAS,Science AAAS
ScienceAAS,Science AAS
ScienceAlert,Science Alert
ScienceDaily,ScienceDaily
ScienceFriday,Science Friday
ScienceNow,ScienceNow
ScienceToday,Science Today
ScienceWorldReport,Science World Report
ScientificAmerican,Scientific American
ScientificAmericanOscillatorblog,Scientific American - Oscillator blog
ScopeMedicalBlogStanford,Scope Medical Blog (Stanford)
SeattlePostIntelligencer,Seattle Post-Intelligencer
SeattleTimes,Seattle Times 
SFAppeal,SF Appeal
SFBusinessTimes,SF Business Times
SFChronicle,SF Chronicle
SFCurbed,SF Curbed
SFExaminer,SF Examiner
SFGateCityBrights,SFGate - City Brights
SFGiants,SF Giants
SFPublicPress,SF Public Press
SFWeekly,SF Weekly 
SFWire,SFWire
SiliconValleyBusinessJournal,Silicon Valley Business Journal
Slate,Slate
SmartMoney,SmartMoney
SmithMountainEagle,Smith Mountain Eagle
Smithsonian,Smithsonian
SmithsonianMagazine,Smithsonian Magazine
SonomaCountyPressDemocrat,Sonoma County Press Democrat
SonomaIndexTribune,Sonoma Index-Tribune
SonomaMagazine,Sonoma Magazine
SpaceDaily,Space Daily
Spectrum,Spectrum
SpringfieldNewsSun,Springfield News-Sun 
StarkInsider,Stark Insider
STAT,STAT
StocktonRecord,Stockton Record
StreetRootNews,Street Root News
SundayTimesUK,Sunday Times (UK)
SwimSwam,Swim Swam
SydneyMorningHerald,Sydney Morning Herald
SyndeyMorningHerald,Syndey Morning Herald
TadiasMagazine,Tadias Magazine
TahoeDailyTribune,Tahoe Daily Tribune
TeamUSAorg,TeamUSA.org
TeaneckPatch,Teaneck Patch
TechnologyReview,Technology Review
Technorati,Technorati
TEDTalks,TED Talks
TeenVogue,Teen Vogue
TelegraphUK,Telegraph (UK)
ThatsFitblog,That's Fit blog
TheAgeAustralia,The Age (Australia)
TheArchitectsNewspaper,The Architect's Newspaper
TheAthensNews,The Athens News
TheAtlantic,The Atlantic
TheAtlanticWire,The Atlantic Wire
TheAustrailian,The Austrailian
TheAustralian,The Australian
TheBayAreaReporter,The Bay Area Reporter
TheBayCitizen,The Bay Citizen
TheBlueBanner,The Blue Banner
TheBostonGlobe,The Boston Globe
TheCaliforniaReport,The California Report 
TheChronicleofHigherEduation,The Chronicle of Higher Eduation
TheColbertReport,The Colbert Report
TheConversation,The Conversation
TheDailyBeast,The Daily Beast
TheDailyCalifornian,The Daily Californian
TheEconomist,The Economist
TheExaminar,The Examinar
TheExaminer,The Examiner
TheFresnoBee,The Fresno Bee
TheFresnoBusinessJournal,The Fresno Business Journal
TheGlobeandMail,The Globe and Mail
TheGlobeMail,The Globe & Mail
TheGuardian,The Guardian
TheGuardianUK,The Guardian (UK)
TheHindu,The Hindu
TheHospitalist,The Hospitalist
TheHuffingtonPost,The Huffington Post
TheHuffingtonPostUK,The Huffington Post UK   
TheIndependentUK,The Independent (UK)
TheJapanTimes,The Japan Times
TheLancet,The Lancet
TheLastWordOnNothingblog,The Last Word On Nothing blog
TheMercuryNews,The Mercury News
TheModestoBee,The Modesto Bee
TheNeuronClubblog,The Neuron Club blog
TheNewYorker,The New Yorker
TheNewYorkTimes,The New York Times
TheNoeValleyVoice,The Noe Valley Voice
TheOaklandTribune,The Oakland Tribune
ThePressEnterprise,The Press Enterprise
TheRepublic,The Republic
TheRootWashingtonPost,The Root (Washington Post)
TheSacramentoBee,The Sacramento Bee
TheSanFranciscoAppeal,The San Francisco Appeal
TheSanFranciscoChronicle,The San Francisco Chronicle
TheScientist,The Scientist
TheTelegraphUK,The Telegraph (UK)
TheTennessean,The Tennessean
TheTimesofIndia,The Times of India
TheWallStreetJournal,The Wall Street Journal
TheWashingtonPost,The Washington Post
TheWashingtonTimes,The Washington Times
TheWesternAddition,The Western Addition
TimeBattleland,Time - Battleland
TimeMagazine,Time Magazine
Times,Times
TimesofIndia,Times of India
TimesofIndiaANI,Times of India (ANI)
Today,Today
TodayShow,Today Show
TodayShowNBCNightlyNews,Today Show/NBC Nightly News
TorontoSun,Toronto Sun
TriplePundit,Triple Pundit
TucsonSentinal,Tucson Sentinal
TusconSentinel,Tuscon Sentinel
UndarkMagazine,Undark Magazine
UnitedPressInternationalUPI,United Press International (UPI)
UPI,UPI
UrologyTimes,Urology Times
USAToday,USA Today
USATodayAP,USA Today (AP)
USATodayblog,USA Today blog
USMedicine,U.S. Medicine
USNews,U.S. News
USNewsWorldReportScienceNews,US News & World Report/Science News
USNewsWorldReportviaHealthDay,U.S. News & World Report via HealthDay
USNewsWorldReprort,US News & World Reprort
UTNews,UT News
ValleyPublicRadio,Valley Public Radio
VancouverSun,Vancouver Sun
VanityFair,Vanity Fair
VenturaCountyStar,Ventura County Star
VermontPublicRadio,Vermont Public Radio
Vice,Vice
Vocativ,Vocativ
VoiceofAmerica,Voice of America
VoiceofSanDiego,Voice of San Diego
Vox,Vox
Voxxi,Voxxi
WABCCh7NewYork,"WABC Ch 7, New York"
WABCTV,WABC-TV
WallStreetJournal,Wall Street Journal
WallStreetJournalblogfeaturingMikeHarrison,"Wall Street Journal blog, featuring Mike Harrison"
WallStreetJournalBlogs,Wall Street Journal Blogs
WallStreetJournalHealthBlog,Wall Street Journal - Health Blog
WallStreetJournalTheJuggle,Wall Street Journal - The Juggle
WallStreetJournalviaBusinessWire,Wall Street Journal via Business Wire
WashingtonExaminer,Washington Examiner
WashingtonPost,Washington Post
WashingtonPostKaiserHealthNews,"Washington Post, Kaiser Health News"
WashingtonPostNewYorkTimesFOXNewsABCNewsSanFranciscoChronicleBayAreaNewsGroupNewYorkDailyNewsviaAssociatedPress,"Washington Post, New York Times, FOX News, ABC News, San Francisco Chronicle, Bay Area News Group, New York Daily News via Associated Press"
WashingtonPostviaKaiserHealthNews,Washington Post via Kaiser Health News
WashingtonPostWonkBlog,Washington Post - Wonk Blog
WBUR,WBUR
WCBSTVCh2NewYork,"WCBS-TV, Ch 2, New York"
WebMDviaHealthDay,WebMD via HealthDay
WesternFarmPress,Western Farm Press
WGCLCBSAtlanta,WGCL CBS Atlanta
WiredNews,Wired News
WiredTheFrontalCortex,Wired - The Frontal Cortex
WiredUK,Wired (UK)
WiredviaQuantaMagazine,Wired via Quanta Magazine
WNDUNBC16SouthBendIN,"WNDU NBC 16, South Bend IN "
WomansDay,Woman's Day
WomansDayMagazine,Woman's Day Magazine
WomensENews,Women's E News
WomensHealthgov,WomensHealth.gov
WoodlandDailyDemocrat,Woodland Daily Democrat
WorchesterTelegramGazette,Worchester Telegram & Gazette
WPVITVABCCh6Philadelphia,WPVI-TV ABC Ch 6 Philadelphia
WTGVTVABC13Toledo,WTGV-TV  ABC 13 Toledo
YahooFinance,Yahoo! Finance
YahooFinanceUK,Yahoo! Finance UK
YahooHealth,Yahoo! Health
ZDNet,ZDNet
ZengageZendeskBlog,Zengage: Zendesk Blog
